Label:, CH1: Time
DateTime:, Wed Jan  1 00:07:20 2003
DataKind:, CH1, Time, Real
DataPoints:, 2048
DataCalc:
Frequency:, 0.000 , 1600.000, Hz
Sample:, 2048, Internal
Average:, 0, Power/Sum
Voltage(CH1):, 10.000, dBVrms
EU/V(CH1):, 1.000E+00
Window(CH1):, Hann
X-AxisScale:, Lin
X-AxisUnit:, s
Y-AxisScale:, Lin
Y-AxisUnit:, V
Y-AxisMagniude:
2.90527344E-02, -6.07142746E-01
2.92968750E-02, -6.15541279E-01
2.95410156E-02, -6.22394323E-01
2.97851562E-02, -6.30140305E-01
3.00292969E-02, -6.37359500E-01
3.02734375E-02, -6.44924104E-01
3.05175781E-02, -6.52030230E-01
3.07617188E-02, -6.58403039E-01
3.10058594E-02, -6.64709926E-01
3.12500000E-02, -6.71370208E-01
3.14941406E-02, -6.76902294E-01
3.17382812E-02, -6.81999028E-01
3.19824219E-02, -6.87726200E-01
3.22265625E-02, -6.92931473E-01
3.24707031E-02, -6.98412538E-01
3.27148438E-02, -7.02629685E-01
3.29589844E-02, -7.07244337E-01
3.32031250E-02, -7.11149693E-01
3.34472656E-02, -7.16161788E-01
3.36914062E-02, -7.19987035E-01
3.39355469E-02, -7.23617733E-01
3.41796875E-02, -7.26597667E-01
3.44238281E-02, -7.30124831E-01
3.46679688E-02, -7.32908487E-01
3.49121094E-02, -7.35544503E-01
3.51562500E-02, -7.37538755E-01
3.54003906E-02, -7.39717066E-01
3.56445312E-02, -7.41931617E-01
3.58886719E-02, -7.43619680E-01
3.61328125E-02, -7.45013475E-01
3.63769531E-02, -7.46301889E-01
3.66210938E-02, -7.47202039E-01
3.68652344E-02, -7.47475386E-01
3.71093750E-02, -7.47494817E-01
3.73535156E-02, -7.46780813E-01
3.75976562E-02, -7.47283101E-01
3.78417969E-02, -7.46851563E-01
3.80859375E-02, -7.46337235E-01
3.83300781E-02, -7.45572209E-01
3.85742188E-02, -7.44600117E-01
3.88183594E-02, -7.43618786E-01
3.90625000E-02, -7.42255509E-01
3.93066406E-02, -7.41011679E-01
3.95507812E-02, -7.38802075E-01
3.97949219E-02, -7.36424804E-01
4.00390625E-02, -7.34227598E-01
4.02832031E-02, -7.31772244E-01
4.05273438E-02, -7.28881478E-01
4.07714844E-02, -7.25795448E-01
4.10156250E-02, -7.22046554E-01
4.12597656E-02, -7.19088316E-01
4.15039062E-02, -7.14593351E-01
4.17480469E-02, -7.09632099E-01
4.19921875E-02, -7.04980493E-01
4.22363281E-02, -7.00291634E-01
4.24804688E-02, -6.95191443E-01
4.27246094E-02, -6.91139102E-01
4.29687500E-02, -6.85848296E-01
4.32128906E-02, -6.79780602E-01
4.34570312E-02, -6.74098730E-01
4.37011719E-02, -6.67499900E-01
4.39453125E-02, -6.61398411E-01
4.41894531E-02, -6.54849410E-01
4.44335938E-02, -6.48544252E-01
4.46777344E-02, -6.41180456E-01
4.49218750E-02, -6.34177566E-01
4.51660156E-02, -6.26376927E-01
4.54101562E-02, -6.19687259E-01
4.56542969E-02, -6.11265242E-01
4.58984375E-02, -6.03724301E-01
4.61425781E-02, -5.96010923E-01
4.63867188E-02, -5.88917851E-01
4.66308594E-02, -5.80134034E-01
4.68750000E-02, -5.71351647E-01
4.71191406E-02, -5.62444925E-01
4.73632812E-02, -5.53763449E-01
4.76074219E-02, -5.44690371E-01
4.78515625E-02, -5.35973370E-01
4.80957031E-02, -5.27489305E-01
4.83398438E-02, -5.17668664E-01
4.85839844E-02, -5.07954538E-01
4.88281250E-02, -4.97790873E-01
4.90722656E-02, -4.87899959E-01
4.93164062E-02, -4.76888716E-01
4.95605469E-02, -4.66859132E-01
4.98046875E-02, -4.57066476E-01
5.00488281E-02, -4.47671711E-01
5.02929688E-02, -4.36097324E-01
5.05371094E-02, -4.25889730E-01
5.07812500E-02, -4.12886679E-01
5.10253906E-02, -4.01554912E-01
5.12695312E-02, -3.90910059E-01
5.15136719E-02, -3.80801052E-01
5.17578125E-02, -3.68126869E-01
5.20019531E-02, -3.55994821E-01
5.22460938E-02, -3.42974424E-01
5.24902344E-02, -3.31065357E-01
5.27343750E-02, -3.18264276E-01
5.29785156E-02, -3.05349946E-01
5.32226562E-02, -2.92915940E-01
5.34667969E-02, -2.80265152E-01
5.37109375E-02, -2.66821295E-01
5.39550781E-02, -2.52004534E-01
5.41992188E-02, -2.39059910E-01
5.44433594E-02, -2.25991398E-01
5.46875000E-02, -2.12653711E-01
5.49316406E-02, -1.99370652E-01
5.51757812E-02, -1.88381121E-01
5.54199219E-02, -1.72945946E-01
5.56640625E-02, -1.59049869E-01
5.59082031E-02, -1.44393027E-01
5.61523438E-02, -1.31399319E-01
5.63964844E-02, -1.16531022E-01
5.66406250E-02, -1.03261694E-01
5.68847656E-02, -8.92908126E-02
5.71289062E-02, -7.64096901E-02
5.73730469E-02, -6.15350939E-02
5.76171875E-02, -4.74303924E-02
5.78613281E-02, -3.39160636E-02
5.81054688E-02, -2.11984571E-02
5.83496094E-02, -7.45719299E-03
5.85937500E-02, 6.16829190E-03
5.88378906E-02, 2.00564135E-02
5.90820312E-02, 3.46713625E-02
5.93261719E-02, 4.82458323E-02
5.95703125E-02, 6.19002469E-02
5.98144531E-02, 7.45862871E-02
6.00585938E-02, 8.84627700E-02
6.03027344E-02, 1.00482732E-01
6.05468750E-02, 1.14369556E-01
6.07910156E-02, 1.25881031E-01
6.10351562E-02, 1.39982775E-01
6.12792969E-02, 1.52849436E-01
6.15234375E-02, 1.66420951E-01
6.17675781E-02, 1.78173542E-01
6.20117188E-02, 1.91394284E-01
6.22558594E-02, 2.03966588E-01
6.25000000E-02, 2.17085183E-01
6.27441406E-02, 2.29123160E-01
6.29882812E-02, 2.42205411E-01
6.32324219E-02, 2.54510909E-01
6.34765625E-02, 2.67545909E-01
